section,group,text,spoken,status,source
Unused preset data,Old keyboard picker / medicine,Give me medicine,Give me medicine,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / medicine,Medicine time now,Medicine time now,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / tt suction,TT suction needed now,TT suction needed now,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / oral suction,Oral suction needed,Oral suction needed,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / ambu bag,Start ambu please,Start ambu please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / breathing discomfort,I am having trouble breathing,I am having trouble breathing,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / severe pain,I am in severe pain,I am in severe pain,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / help now,Help me please come fast,Help me please come fast,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / turn left,Turn me to left side,Turn me to left side,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / turn right,Turn me to right side,Turn me to right side,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / head up,Raise my head please,Raise my head please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / head down,Lower my head please,Lower my head please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / adjust pillows,Adjust my pillow please,Adjust my pillow please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / adjust neck support,Adjust my neck support please,Adjust my neck support please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / blanket / shawl,Give me blanket please,Give me blanket please,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / fever,I am having fever,I am having fever,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
Unused preset data,Old keyboard picker / check o₂,Check oxygen level,Check oxygen level,Unreachable: quickWordsOpen is never set true,src/screens/KeyboardScreen.tsx
